/* Start up: 7/22/2018 1:45:10 AM */

[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:30:03 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:32:19 PM] [User.ReceiveData] » [DEBUG] MrSnap No TCP Client - kick out
/* Start up: 7/22/2018 8:35:08 PM */

[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:35:12 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 8:39:22 PM */

[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 8:39:27 PM] [Program.initializeStartup] » Map ID [71] its already in the dictionary, maybe some duplicate (?)
/* Start up: 7/22/2018 9:01:17 PM */

[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [46] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [22] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [80] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [89] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [27] its already in the dictionary, maybe some duplicate (?)
[7/22/2018 9:01:20 PM] [Program.initializeStartup] » Map ID [44] its already in the dictionary, maybe some duplicate (?)
